experiment,model,variant,target_column,source_path,seed,effective_lambda_r,best_epoch,best_val_task_loss,run_dir,train_total_loss,train_task_loss,train_recon_loss,train_mse,train_mae,train_r2,train_proxy_recon_r2,train_kstar_proxy_spearman_rho,train_kstar_proxy_spearman_p,train_kstar_mean,train_kstar_std,train_omega_entropy_mean,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_omega_entropy_mean,test_total_loss,test_task_loss,test_recon_loss,test_mse,test_mae,test_r2,test_proxy_recon_r2,test_kstar_proxy_spearman_rho,test_kstar_proxy_spearman_p,test_kstar_mean,test_kstar_std,test_omega_entropy_mean
E4_economics_ablation_no_ac_encoder_seed0,cmdl_ablation,no_ac_encoder,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,0,0.0,5,2.7713639736175537,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_no_ac_encoder_seed0,0.7153408527374268,0.7153408527374268,1.7289721562529792e+16,0.7153408620863226,0.6657411457581147,0.08634367697471444,-1.728972137381206e+16,0.0,1.0,6.837673664093018,0.0,2.0182111263275146,2.7713639736175537,2.7713639736175537,1.7289721562529792e+16,2.771363774798635,1.2273420429064168,0.0374206192320079,-1.728972137381206e+16,0.0,1.0,6.837673664093018,0.0,2.0182111263275146,4.387622833251953,4.387622833251953,1.7289721562529792e+16,4.3876222661259225,1.5676889903102917,-0.058631559618452525,-1.728972137381206e+16,0.0,1.0,6.837673664093018,0.0,2.0182111263275146
E4_economics_ablation_no_ac_encoder_seed1,cmdl_ablation,no_ac_encoder,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,1,0.0,1,2.949154853820801,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_no_ac_encoder_seed1,0.942725419998169,0.942725419998169,2295863225352192.0,0.9427253457051693,0.7771206097975164,-0.16133489500962928,-2295863362889645.0,0.0,1.0,3.745347261428833,0.0,1.7984040975570679,2.949154853820801,2.949154853820801,2295863225352192.0,2.9491547737634374,1.3073050374165178,-0.053331901161555874,-2295863362889645.0,0.0,1.0,3.745347261428833,0.0,1.7984040975570679,4.6893534660339355,4.6893534660339355,2295863225352192.0,4.689353943100199,1.6722923492804485,-0.13064539193148456,-2295863362889645.0,0.0,1.0,3.745347261428833,0.0,1.7984040975570679
E4_economics_ablation_no_ac_encoder_seed2,cmdl_ablation,no_ac_encoder,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,2,0.0,23,2.9632301330566406,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_no_ac_encoder_seed2,0.45977506041526794,0.45977506041526794,3254806479110144.0,0.45977507717665256,0.5066190623063853,0.42317726221725316,-3254806614501142.5,0.0,1.0,3.0459723472595215,0.0,1.5715782642364502,2.9632301330566406,2.9632301330566406,3254806479110144.0,2.963230073256884,1.330774455499791,-0.06431891360455594,-3254806614501142.5,0.0,1.0,3.0459723472595215,0.0,1.5715782642364502,4.5159430503845215,4.5159430503845215,3254806479110144.0,4.515943241983983,1.6207733265740847,-0.09013729528443135,-3254806614501142.5,0.0,1.0,3.0459723472595215,0.0,1.5715782642364502
E4_economics_ablation_uniform_lag_seed0,cmdl_ablation,uniform_lag,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,0,0.1,1,2.837034225463867,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_uniform_lag_seed0,0.9062461853027344,0.8980093002319336,0.08236914128065109,0.8980092514896066,0.7331632154119366,-0.11578438453228339,0.9176308590271457,0.0,1.0,5.5,0.0,2.3025853633880615,2.845271110534668,2.837034225463867,0.08236914128065109,2.8370340863057337,1.275212707780006,0.006240728165416505,0.9176308590271457,0.0,1.0,5.5,0.0,2.3025853633880615,4.343965530395508,4.335728645324707,0.08236914128065109,4.335728612818728,1.5719592748515978,-0.045594476170657997,0.9176308590271457,0.0,1.0,5.5,0.0,2.3025853633880615
E4_economics_ablation_uniform_lag_seed1,cmdl_ablation,uniform_lag,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,1,0.1,1,2.946762800216675,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_uniform_lag_seed1,0.9525813460350037,0.9463483095169067,0.06233035773038864,0.946348284228411,0.7796971847586243,-0.16481106196948017,0.937669646968533,0.0,1.0,5.5,0.0,2.3025853633880615,2.952995777130127,2.946762800216675,0.06233035773038864,2.9467627128864895,1.3063397573129762,-0.052461166617797726,0.937669646968533,0.0,1.0,5.5,0.0,2.3025853633880615,4.685235977172852,4.67900276184082,0.06233035773038864,4.679003039527968,1.6709445337760622,-0.1281341169814404,0.937669646968533,0.0,1.0,5.5,0.0,2.3025853633880615
E4_economics_ablation_uniform_lag_seed2,cmdl_ablation,uniform_lag,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,2,0.1,26,2.984247922897339,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_uniform_lag_seed2,0.4551977813243866,0.4371740221977234,0.18023771047592163,0.4371740367620923,0.48984560857230686,0.45244864848682603,0.819762281221228,0.0,1.0,5.5,0.0,2.3025853633880615,3.0022716522216797,2.984247922897339,0.18023771047592163,2.984247929244676,1.3358863708651847,-0.07908451770049459,0.819762281221228,0.0,1.0,5.5,0.0,2.3025853633880615,4.487794399261475,4.469770431518555,0.18023771047592163,4.469770483696395,1.6130106397084143,-0.0802400427157891,0.819762281221228,0.0,1.0,5.5,0.0,2.3025853633880615
E4_economics_ablation_no_recon_regularization_seed0,cmdl_ablation,no_recon_regularization,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,0,0.0,5,2.768782377243042,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_no_recon_regularization_seed0,0.7155830264091492,0.7155830264091492,0.11017274856567383,0.7155830407108964,0.6658277605590965,0.08599620556781651,0.889827248642774,-0.9804555786254644,1.4926262710827831e-74,6.847514629364014,0.007010139524936676,2.012310028076172,2.768782377243042,2.768782377243042,0.11017274856567383,2.768782290530246,1.22673133274629,0.0383370747615853,0.889827248642774,-0.9804555786254644,1.4926262710827831e-74,6.847514629364014,0.007010139524936676,2.012310028076172,4.385006427764893,4.385006427764893,0.11017274856567383,4.385006187566281,1.5673204570835861,-0.057987678021997134,0.889827248642774,-0.9804555786254644,1.4926262710827831e-74,6.847514629364014,0.007010139524936676,2.012310028076172
E4_economics_ablation_no_recon_regularization_seed1,cmdl_ablation,no_recon_regularization,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,1,0.0,1,2.9511070251464844,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_no_recon_regularization_seed1,0.9434871673583984,0.9434871673583984,0.06341157108545303,0.9434871640667508,0.7779265956975034,-0.1619333479498687,0.9365884265576198,0.9999999999999999,0.0,3.9263272285461426,0.3037768602371216,1.820894718170166,2.9511070251464844,2.9511070251464844,0.06341157108545303,2.9511069903009903,1.3074298086058762,-0.05411349661719966,0.9365884265576198,0.9999999999999999,0.0,3.9263272285461426,0.3037768602371216,1.820894718170166,4.689226150512695,4.689226150512695,0.06341157108545303,4.689226052216125,1.6723181448792734,-0.13060572857971733,0.9365884265576198,0.9999999999999999,0.0,3.9263272285461426,0.3037768602371216,1.820894718170166
E4_economics_ablation_no_recon_regularization_seed2,cmdl_ablation,no_recon_regularization,ctfp,C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long.csv,2,0.0,8,2.959364175796509,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_target\ablation\E4_economics_ablation_no_recon_regularization_seed2,0.627217710018158,0.627217710018158,0.7951234579086304,0.6272177118020147,0.6195407349814934,0.22543513778414923,0.2048765377935584,-0.4597657059921211,8.057859629103605e-07,3.110041856765747,0.06413812190294266,1.5884499549865723,2.959364175796509,2.959364175796509,0.7951234579086304,2.959364165436875,1.3184052820953112,-0.0511630730630647,0.2048765377935584,-0.4597657059921211,8.057859629103605e-07,3.110041856765747,0.06413812190294266,1.5884499549865723,4.578958511352539,4.578958511352539,0.7951234579086304,4.578958597775745,1.6253690015635636,-0.10411566174307647,0.2048765377935584,-0.4597657059921211,8.057859629103605e-07,3.110041856765747,0.06413812190294266,1.5884499549865723
